metric,value,bestValue,repo
reliability_remediation_effort,152,False,GElectrical
security_rating,1.0,True,GElectrical
security_remediation_effort,0,True,GElectrical
sqale_index,6672,False,GElectrical
sqale_rating,1.0,True,GElectrical
duplicated_lines_density,10.3,False,GridPACK
reliability_rating,5.0,False,GridPACK
reliability_remediation_effort,1204,False,GridPACK
security_rating,1.0,True,GridPACK
security_remediation_effort,0,True,GridPACK
sqale_index,124062,False,GridPACK
sqale_rating,1.0,True,GridPACK
duplicated_lines_density,3.6,False,H2Integrate
reliability_rating,5.0,False,H2Integrate
reliability_remediation_effort,997,False,H2Integrate
security_rating,1.0,True,H2Integrate
security_remediation_effort,0,True,H2Integrate
sqale_index,5513,False,H2Integrate
sqale_rating,1.0,True,H2Integrate
duplicated_lines_density,14.3,False,HELICS
reliability_rating,5.0,False,HELICS
reliability_remediation_effort,557,False,HELICS
security_rating,5.0,False,HELICS
security_remediation_effort,120,False,HELICS
sqale_index,77139,False,HELICS
sqale_rating,1.0,True,HELICS
duplicated_lines_density,0.6,False,HERON
reliability_rating,5.0,False,HERON
reliability_remediation_effort,195,False,HERON
security_rating,1.0,True,HERON
security_remediation_effort,0,True,HERON
sqale_index,2974,False,HERON
sqale_rating,1.0,True,HERON
duplicated_lines_density,4.8,False,HOPP
reliability_rating,5.0,False,HOPP
reliability_remediation_effort,860,False,HOPP
security_rating,4.0,False,HOPP
security_remediation_effort,10,False,HOPP
sqale_index,8809,False,HOPP
sqale_rating,1.0,True,HOPP
duplicated_lines_density,74.8,False,HYBRID
reliability_rating,5.0,False,HYBRID
reliability_remediation_effort,280,False,HYBRID
security_rating,1.0,True,HYBRID
security_remediation_effort,0,True,HYBRID
sqale_index,16430,False,HYBRID
sqale_rating,1.0,True,HYBRID
duplicated_lines_density,0.0,True,HybridBOSSE
reliability_rating,1.0,True,HybridBOSSE
reliability_remediation_effort,0,True,HybridBOSSE
security_rating,1.0,True,HybridBOSSE
security_remediation_effort,0,True,HybridBOSSE
sqale_index,1086,False,HybridBOSSE
sqale_rating,1.0,True,HybridBOSSE
duplicated_lines_density,39.6,False,Inve2st
reliability_rating,4.0,False,Inve2st
reliability_remediation_effort,304,False,Inve2st
security_rating,1.0,True,Inve2st
security_remediation_effort,0,True,Inve2st
sqale_index,9725,False,Inve2st
sqale_rating,1.0,True,Inve2st
duplicated_lines_density,14.2,False,JPoNG
reliability_rating,3.0,False,JPoNG
reliability_remediation_effort,10,False,JPoNG
security_rating,1.0,True,JPoNG
security_remediation_effort,0,True,JPoNG
sqale_index,769,False,JPoNG
sqale_rating,1.0,True,JPoNG
duplicated_lines_density,1.8,False,MATCH-model
reliability_rating,5.0,False,MATCH-model
reliability_remediation_effort,15,False,MATCH-model
security_rating,1.0,True,MATCH-model
security_remediation_effort,0,True,MATCH-model
sqale_index,1906,False,MATCH-model
sqale_rating,1.0,True,MATCH-model
duplicated_lines_density,19.8,False,MESSpy
reliability_rating,5.0,False,MESSpy
reliability_remediation_effort,125,False,MESSpy
security_rating,1.0,True,MESSpy
security_remediation_effort,0,True,MESSpy
sqale_index,7371,False,MESSpy
sqale_rating,1.0,True,MESSpy
duplicated_lines_density,1.1,False,MUSE_OS
reliability_rating,5.0,False,MUSE_OS
reliability_remediation_effort,179,False,MUSE_OS
security_rating,1.0,True,MUSE_OS
security_remediation_effort,0,True,MUSE_OS
sqale_index,1598,False,MUSE_OS
sqale_rating,1.0,True,MUSE_OS
duplicated_lines_density,34.6,False,MicroGridsPy
reliability_rating,5.0,False,MicroGridsPy
reliability_remediation_effort,4354,False,MicroGridsPy
security_rating,1.0,True,MicroGridsPy
security_remediation_effort,0,True,MicroGridsPy
sqale_index,9014,False,MicroGridsPy
sqale_rating,1.0,True,MicroGridsPy
duplicated_lines_density,1.4,False,Microgrids.py
reliability_rating,3.0,False,Microgrids.py
reliability_remediation_effort,25,False,Microgrids.py
security_rating,1.0,True,Microgrids.py
security_remediation_effort,0,True,Microgrids.py
sqale_index,209,False,Microgrids.py
sqale_rating,1.0,True,Microgrids.py
duplicated_lines_density,0.0,True,NEMO
reliability_rating,3.0,False,NEMO
reliability_remediation_effort,10,False,NEMO
security_rating,1.0,True,NEMO
security_remediation_effort,0,True,NEMO
sqale_index,306,False,NEMO
sqale_rating,1.0,True,NEMO
duplicated_lines_density,6.7,False,OPEN
reliability_rating,3.0,False,OPEN
reliability_remediation_effort,22,False,OPEN
security_rating,1.0,True,OPEN
security_remediation_effort,0,True,OPEN
sqale_index,2882,False,OPEN
sqale_rating,1.0,True,OPEN
duplicated_lines_density,8.8,False,OnSSET-2016
reliability_rating,3.0,False,OnSSET-2016
reliability_remediation_effort,15,False,OnSSET-2016
security_rating,1.0,True,OnSSET-2016
security_remediation_effort,0,True,OnSSET-2016
sqale_index,1250,False,OnSSET-2016
sqale_rating,1.0,True,OnSSET-2016
duplicated_lines_density,2.9,False,Open-Energy-Cell-Simulation
reliability_rating,3.0,False,Open-Energy-Cell-Simulation
reliability_remediation_effort,60,False,Open-Energy-Cell-Simulation
security_rating,1.0,True,Open-Energy-Cell-Simulation
security_remediation_effort,0,True,Open-Energy-Cell-Simulation
sqale_index,1483,False,Open-Energy-Cell-Simulation
sqale_rating,1.0,True,Open-Energy-Cell-Simulation
duplicated_lines_density,7.0,False,OpenDER
reliability_rating,3.0,False,OpenDER
reliability_remediation_effort,618,False,OpenDER
security_rating,1.0,True,OpenDER
security_remediation_effort,0,True,OpenDER
sqale_index,2377,False,OpenDER
sqale_rating,1.0,True,OpenDER
duplicated_lines_density,6.8,False,OpenDSS-C
reliability_rating,5.0,False,OpenDSS-C
reliability_remediation_effort,2793,False,OpenDSS-C
security_rating,1.0,True,OpenDSS-C
security_remediation_effort,0,True,OpenDSS-C
sqale_index,178955,False,OpenDSS-C
sqale_rating,1.0,True,OpenDSS-C
duplicated_lines_density,0.0,True,OpenIPSL
reliability_rating,1.0,True,OpenIPSL
reliability_remediation_effort,0,True,OpenIPSL
security_rating,1.0,True,OpenIPSL
security_remediation_effort,0,True,OpenIPSL
sqale_index,233,False,OpenIPSL
sqale_rating,1.0,True,OpenIPSL
duplicated_lines_density,5.7,False,OpenTUMFlex
