id,html_url,Reason Binary-Artifacts,Reason Branch-Protection,Reason CII-Best-Practices,Reason Code-Review,Reason Dangerous-Workflow,Reason Fuzzing,Reason License,Reason Maintained,Reason Packaging,Reason Pinned-Dependencies,Reason SAST,Reason Security-Policy,Reason Signed-Releases,Reason Token-Permissions,Reason CI-Tests,Reason Contributors,Reason Dependency-Update-Tool,Reason Vulnerabilities
edisgo,https://github.com/openego/eDisGo,No binaries found in the repo,Internal error: error during brancheshandler.setup: internal error: some github tokens can't read classic branch protection rules: https://github.com/ossf/scorecard-action/blob/main/docs/authentication/fine-grained-auth-token.md,No effort to earn an openssf best practices badge detected,Found 1/11 approved changesets -- score normalized to 0,No dangerous workflow patterns detected,Project is not fuzzed,License file detected,20 commit(s) and 15 issue activity found in the last 90 days -- score normalized to 10,Packaging workflow not detected,Dependency not pinned by hash detected -- score normalized to 0,Sast tool is not run on all commits -- score normalized to 0,Security policy file not detected,No releases found,Detected github workflow tokens with excessive permissions,nan,nan,nan,nan
ego,https://github.com/openego/eGo,No binaries found in the repo,Branch protection not enabled on development/release branches,No effort to earn an openssf best practices badge detected,Found 2/3 approved changesets -- score normalized to 6,No workflows found,Project is not fuzzed,License file detected,8 commit(s) and 0 issue activity found in the last 90 days -- score normalized to 6,Packaging workflow not detected,No dependencies found,Sast tool is not run on all commits -- score normalized to 0,Security policy file not detected,No releases found,No tokens found,nan,nan,nan,nan
lego,https://github.com/IEE-TUGraz/LEGO,No binaries found in the repo,Branch protection not enabled on development/release branches,No effort to earn an openssf best practices badge detected,Found 0/30 approved changesets -- score normalized to 0,No workflows found,Project is not fuzzed,License file detected,0 commit(s) and 0 issue activity found in the last 90 days -- score normalized to 0,Packaging workflow not detected,No dependencies found,No sast tool detected,Security policy file not detected,No releases found,No tokens found,No pull request found,Project has 1 contributing companies or organizations -- score normalized to 3,No update tool detected,0 existing vulnerabilities detected
pypsa,https://github.com/PyPSA/PyPSA,No binaries found in the repo,Branch protection is not maximal on development and all release branches,No effort to earn an openssf best practices badge detected,Found 22/27 approved changesets -- score normalized to 8,No dangerous workflow patterns detected,Project is not fuzzed,License file detected,30 commit(s) and 7 issue activity found in the last 90 days -- score normalized to 10,Packaging workflow detected,Dependency not pinned by hash detected -- score normalized to 0,Sast tool is run on all commits,Security policy file detected,No releases found,Detected github workflow tokens with excessive permissions,nan,nan,nan,nan
