username,classification,company,location,repos
2308087369,academic,shanghai jiao tong university,CHN,"gh:natlabrockies/reopt.jl,gh:oemof/oemof-solph,gh:pypsa/pypsa"
233309,unknown,,,gh:epri-dev/opender
2390772736-ctrl,unknown,,,gh:richard-weinhold/pomato
2448778655,unknown,,,gh:curent/andes
24601,academic,cto procurement sciences,USA,"gh:e2niee/pandapower,gh:ie3-institute/powersystemdatamodel,gh:ie3-institute/simona"
24636913a,unknown,,,gh:rheia-framework/rheia
24724181,unknown,,,gh:pypsa/pypsa
258796535,unknown,,,gh:e2niee/pandapower
278136289-eco,unknown,,,"gh:e2niee/pandapower,gh:powergridmodel/power-grid-model,gh:pypsa/pypsa"
29-hxr,unknown,,,gh:prep-next/prep-shot
2995155179-ops,unknown,,,gh:matpower/matpower
2flea,unknown,,,gh:akkudoktor-eos/eos
2florac,unknown,,,gh:e2niee/pandapower
2iw31Zhv,unknown,,,gh:matpower/matpower
2kam,unknown,,,gh:fzj-iek3-vsa/fine
2malto,unknown,,,gh:e2niee/pandapower
2nisb,unknown,,,"gh:powsybl/powsybl-core,gh:powsybl/powsybl-open-loadflow,gh:powsybl/pypowsybl"
3000dust,academic,,,gh:hope-model-project/hope
314961246,academic,shandong university,CHN,gh:changgang/steps
31jinxiao,unknown,,,gh:iiasa/message_ix
32bitmicro,professional,32bitmicro,,"gh:akkudoktor-eos/eos,gh:e2niee/pandapower,gh:natlabrockies/sam,gh:oemof/oemof-solph,gh:oemof/oemof-thermal,gh:openipsl/openipsl"
33200101165,academic,zhejiang university,CHN,gh:idaholab/hybrid
35604,unknown,,,gh:richard-weinhold/pomato
362224222,unknown,,,gh:pypsa/pypsa
3Domse3,unknown,,DEU,"gh:e2niee/pandapower,gh:marvinler/pypownet"
3GR2000,industry,,,gh:natlabrockies/sam
3LL3RM4NN,unknown,,,gh:oemof/oemof-solph
3Max9,unknown,,,gh:natlabrockies/sam
3enny3oy,unknown,,,gh:openipsl/openipsl
3lbits,unknown,,NOR,gh:powsybl/pypowsybl
3plus10i,unknown,,CHN,"gh:blue-marble/gridpath,gh:curent/andes,gh:matpower/matpower,gh:rwl/pypower,gh:sanpen/veragrid"
3shn,unknown,,,gh:lanl-ansi/powermodels.jl
3tes,unknown,,DEU,gh:akkudoktor-eos/eos
404GamerNotFound,unknown,,,gh:akkudoktor-eos/eos
404notykk,unknown,,,gh:uu-er/adopt-net0
42Mo,unknown,,SRB,"gh:sanpen/veragrid,gh:susantoj/pypower-dynamics"
43bits,unknown,,,gh:pypsa/pypsa
4441564944,unknown,,CZE,gh:calliope-project/calliope
453455,unknown,,,gh:e2niee/pandapower
465495483,unknown,,,gh:prep-next/prep-shot
46564497,unknown,,,gh:pypsa/pypsa
48026129,unknown,,,gh:sanpen/veragrid
480V277,unknown,,,gh:epri-dev/opender
4Pixel,professional,4pixel,,gh:akkudoktor-eos/eos
4aoliang,academic,zhejiang university,CHN,gh:future-power-networks/simplus-grid-tool
4c656554,industry,,,gh:e2niee/pandapower
4f1sh3r,unknown,,DEU,gh:akkudoktor-eos/eos
4iar,unknown,,,gh:pypsa/pypsa
4lm,industry,avtools-io,DEU,gh:oemof/oemof-solph
4thfever,academic,,CHN,gh:grid2op/grid2op
4x4Robots,academic,university of stuttgart,,gh:e2niee/pandapower
4zman,unknown,,,gh:akkudoktor-eos/eos
5260486,utility,,,"gh:gh:adgefficiency/energy-py-linear,gh:curent/andes"
526575191,unknown,,,gh:tum-ens/urbs
530646973,unknown,,,gh:anl-ceeesa/unitcommitment.jl
537,unknown,,,gh:lkruitwagen/global-fossil-fuel-supply-chain
54hanxiucao,unknown,,,gh:natlabrockies/sam
555wolfman,unknown,,AUT,gh:akkudoktor-eos/eos
573,industry,,DEU,gh:lkruitwagen/global-fossil-fuel-supply-chain
5756558,unknown,,,gh:prep-next/prep-shot
5ky9uy,unknown,,,gh:akkudoktor-eos/eos
5mad,unknown,,,gh:rwl/pypower
603713921,unknown,,,gh:chengts95/rustpower
6512197,academic,universidad de sevilla,ESP,gh:oemof/oemof-solph
666JJK,unknown,,,gh:prep-next/prep-shot
666wayne,unknown,,,gh:matpower/matpower
690556617,unknown,,,gh:prep-next/prep-shot
695088,unknown,,SAU,"gh:natlabrockies/h2integrate,gh:natlabrockies/hopp"
6BCC2C3896,unknown,,,gh:akkudoktor-eos/eos
6arash6,industry,fh technikum wien,AUT,gh:pnnl/exago
760459252,unknown,,,gh:prep-next/prep-shot
787111270,unknown,,,gh:e2niee/pandapower
7gxycn08,unknown,,,gh:e2niee/pandapower
