id,html_url,pypi_package_url,pypi_package_name,anaconda_package_url,juliahub_package_url,other_source,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05
smartgridtoolbox,https://gitlab.com/SmartGridToolbox/SmartGridToolbox,,,,,,,,,,,,,,,,,,
sms++,https://gitlab.com/smspp/smspp-project,,,,,,,,,,,,,,,,,,
softx_2020_61,https://github.com/ElsevierSoftwareX/SOFTX_2020_61,,,,,,,,,,,,,,,,,,
spineopt_jl,https://github.com/spine-tools/SpineOpt.jl,,,,https://juliahub.com/ui/Packages/General/SpineOpt,,,,,,,,,,,,,,
ssmd,https://git.rwth-aachen.de/acs/public/simulation/ssmd,,,,,,,,,,,,,,,,,,
starlite,https://github.com/IIT-EnergySystemModels/StarLite,,,,,,,,,,,,,,,,,,
stelmod,https://github.com/frkunz/stELMOD,,,,,,,,,,,,,,,,,,
steps,https://github.com/changgang/steps,https://pypi.org/project/stepspy,stepspy,,,,127.0,1407.0,574.0,1756.0,711.0,1008.0,1217.0,705.0,1405.0,1061.0,801.0,745.0,1038.0
stre³am,https://github.com/ANL-CEEESA/STREAM,,,,,,,,,,,,,,,,,,
supergrid,https://github.com/niclasmattsson/Supergrid,,,,,,,,,,,,,,,,,,
sustaingym,https://github.com/chrisyeh96/sustaingym,https://pypi.org/project/sustaingym,sustaingym,,,,136.0,499.0,318.0,442.0,202.0,220.0,227.0,138.0,359.0,168.0,216.0,167.0,244.0
switch,https://github.com/switch-model/switch,https://pypi.org/project/switch-model,switch-model,https://anaconda.org/conda-forge/switch_model,,,361.0,699.0,394.0,442.0,555.0,459.0,476.0,356.0,851.0,497.0,471.0,362.0,448.0
temoa,https://github.com/TemoaProject/temoa,https://pypi.org/project/temoa,temoa,,,,81.0,2980.0,125.0,197.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tesp,https://github.com/pnnl/tesp,https://pypi.org/project/tesp-support,tesp-support,,,,63.0,1003.0,1265.0,2631.0,1893.0,1912.0,1511.0,729.0,1185.0,957.0,710.0,481.0,937.0
times_model,https://github.com/etsap-TIMES/TIMES_model,,,,,,,,,,,,,,,,,,
toop,https://github.com/eliagroup/ToOp,,,,,,,,,,,,,,,,,,
transactive_energy_service_system,https://github.com/slacgismo/TESS,,,,,,,,,,,,,,,,,,
transient_lib,https://github.com/TransiEnt-official/transient-lib,,,,,,,,,,,,,,,,,,
tulipaenergymodel_jl,https://github.com/TulipaEnergy/TulipaEnergyModel.jl,,,,https://juliahub.com/ui/Packages/General/TulipaEnergyModel,,,,,,,,,,,,,,
tz_osemosys,https://github.com/transition-zero/tz-osemosys,https://pypi.org/project/tz-osemosys,tz-osemosys,,,,118.0,883.0,828.0,886.0,998.0,855.0,1108.0,838.0,1488.0,1792.0,1181.0,455.0,1084.0
unitcommitment_jl,https://github.com/ANL-CEEESA/UnitCommitment.jl,,,,https://juliahub.com/ui/Packages/General/UnitCommitment,,,,,,,,,,,,,,
urbs,https://github.com/tum-ens/urbs,,,,,,,,,,,,,,,,,,
veragrid,https://github.com/SanPen/VeraGrid,https://pypi.org/project/veragridengine,veragridengine,,,,810.0,4576.0,5331.0,4551.0,3510.0,3709.0,3676.0,3547.0,2091.0,780.0,0.0,0.0,0.0
villasframework,https://github.com/VILLASframework/node,https://pypi.org/project/villas-node,villas-node,,,,48.0,356.0,296.0,281.0,268.0,633.0,264.0,243.0,259.0,236.0,222.0,182.0,279.0
wpgnn_and_playgen,https://github.com/NatLabRockies/WPGNN,,,,,,,,,,,,,,,,,,
zen_garden,https://github.com/ZEN-universe/ZEN-garden,https://pypi.org/project/zen-garden,zen-garden,,,,441.0,6523.0,3113.0,6617.0,7298.0,7835.0,5537.0,5306.0,8720.0,10620.0,9083.0,4055.0,3886.0
