source_url,note
github.com/IIT-EnergySystemModels/openMASTER,
github.com/IIT-EnergySystemModels/openSDUC,
github.com/IIT-EnergySystemModels/openTEPES,
github.com/IIT-EnergySystemModels/StarLite,
github.com/IPESE/REHO,
github.com/IRPsim/IRPopt,
github.com/JuliaEnergy/Joulia.jl,
github.com/JuliaEnergy/PowerDynamics.jl,simulation model
github.com/kiedanski/pymarket,simulation model
github.com/KTH-dESA/OnSSET-2016,simulation model
github.com/lanl-ansi/PowerModels.jl,
github.com/leonardgoeke/AnyMOD.jl,
github.com/LukasBarner/HydrOGEnMod.jl,
github.com/lvorspel/DiGriPy,simulation model
github.com/macroenergy/MacroEnergy.jl,
github.com/magpiemodel/magpie,
github.com/MarvinLer/pypownet,simulation model
github.com/MATPOWER/matpower,simulation model
github.com/MATPOWER/most,
github.com/mesmo-dev/mesmo,
github.com/Microgrids-X/Microgrids.py,simulation model
github.com/MicroGridsPy/MicroGridsPy,
github.com/ModPowerSystems/ModPowerSystems,
github.com/niclasmattsson/Supergrid,
github.com/NREL-Distribution-Suites/erad,
github.com/NREL-Sienna/PowerSimulations.jl,simulation model
github.com/NREL-Sienna/PowerSimulationsDynamics.jl,
github.com/NREL-Sienna/PowerSystems.jl,
github.com/NREL-Sienna/PowerSystemsInvestments.jl,
github.com/NREL/EMeRGE,
github.com/NREL/HOPP,
github.com/NREL/ParaEMT_public,
github.com/NREL/PRAS,
github.com/NREL/pysam,
github.com/NREL/ReEDS-2.0,
github.com/NREL/REopt.jl,
github.com/NREL/RODeO,
github.com/NREL/SAM,
github.com/NREL/ssc,
github.com/oemof/oemof-solph,
github.com/oemof/tespy,simulation model
github.com/openCEMorg/openCEM,
github.com/openego/eGo,
github.com/OpenIPSL/OpenIPSL,simulation model
github.com/OSeMOSYS/OSeMOSYS,
github.com/pencleanenergy/MATCH-model,
github.com/philipphaertel/EMPRISE,
github.com/pielube/MESSpy,simulation model
github.com/pnnl/ExaGO,
github.com/pnnl/tesp,simulation model
github.com/PowerGridModel/power-grid-model,simulation model
github.com/powsybl,simulation model
github.com/psrenergy/SDDPDSO.jl,simulation model
github.com/PyPSA/PyPSA,
github.com/quintel/etengine,
github.com/RahmanKhorramfar91/JPoNG,
github.com/rebase-energy/enflow,simulation model
github.com/rl-institut/multi-vector-simulator,
github.com/robbiemorrison/deeco,
github.com/rwl/PYPOWER,simulation model
github.com/SanPen/GridCal,simulation model
github.com/sei-international/NemoMod.jl,
github.com/simjunky/Leelo,
github.com/sogno-platform/dpsim,
github.com/sogno-platform/libcimpp,
github.com/sogno-platform/pymfm,simulation model
github.com/soheilmohseni/pyMicrogridControl,simulation model
github.com/sp-etx/friendlysam,simulation model
github.com/SPF-OST/optihood,
github.com/spine-tools/Spine-Toolbox,
github.com/spine-tools/SpineOpt.jl,
github.com/Stanford-EAO/BRIDGES,
github.com/susantoj/PYPOWER-Dynamics,simulation model
github.com/switch-model/switch,
github.com/TemoaProject/temoa/,
github.com/TransiEnt-official/transient-lib,
github.com/TulipaEnergy/TulipaEnergyModel.jl,
github.com/tum-ens/rivus,
github.com/tum-ens/urbs,
github.com/tum-ewk/ficus,
github.com/tum-ewk/OpenTUMFlex,
github.com/UNSW-CEEM/nempy,
github.com/UU-ER/AdOpT-NET0,
github.com/VILLASframework,
github.com/yanzhaochang/PSATools-Python,simulation model
github.com/YoungFaithful/CapacityExpansion.jl,
github.com/ZEN-universe/ZEN-garden,
gitlab.com/diw-evu/dieter_public/DIETER.jl,
gitlab.com/diw-evu/dieter_public/dietergms,
gitlab.com/dlr-ve/esy/remix,
gitlab.com/energyincities/python-ehub,
gitlab.com/sesit/copper,
gitlab.com/sesit/idea,deprecated
gitlab.com/sesit/silver,
gitlab.tubit.tu-berlin.de/wip/dynelmod_public,access denied
gitlab.uliege.be/smart_grids/public/gboml,
gitlab.vtt.fi/backbone/backbone,
gricad-gitlab.univ-grenoble-alpes.fr/omegalpes/omegalpes,
jugit.fz-juelich.de/iek-10/public/optimization/comando,
